model,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall
Dummy (majority),0.5,0.2464,0.0,0.0,0.0,0.5,0.2552,0.0,0.0,0.0
Logistic Regression,0.6452,0.3609,0.4356,0.3327,0.6306,0.6645,0.3954,0.4547,0.349,0.6524
Random Forest,0.6437,0.3608,0.4204,0.3397,0.5516,0.6603,0.3894,0.4427,0.3589,0.5776
Gradient Boosting (HGB),0.6445,0.3587,0.4305,0.3368,0.5961,0.6603,0.3908,0.4457,0.3477,0.6205
XGBoost,0.6409,0.3539,0.4321,0.3324,0.6169,0.6507,0.3769,0.444,0.338,0.6468
